# mart export 2024-02-12
# ensemble genes 11
# zfname hsname
	AAAS
aaas	AAAS
aagab	AAGAB
aars1	AARS1
aars2	AARS2
abca4b	ABCA4
abca4a	ABCA4
ABCA7	ABCA7
	ABCB11
abcb11b	ABCB11
abcb4	ABCB4
abcc8b	ABCC8
abcc8	ABCC8
abcg8	ABCG8
	ABHD16A
	ABHD16A
	ABHD16A
	ABHD16A
	ABHD16A
	ABHD16A
abhd16a	ABHD16A
acad9	ACAD9
acana	ACAN
acanb	ACAN
acat1	ACAT1
acbd5a	ACBD5
CR956623.1	ACBD5
aco2	ACO2
acox1	ACOX1
actc1a	ACTA1
actc1a	ACTA1
acta1b	ACTA1
acta1a	ACTA1
	ACTB
ACTC1	ACTC1
	ACTG1
	ACTG1
actl6b	ACTL6B
	ACTL9
actn1	ACTN1
actn4	ACTN1
	ACTN2
	ACTN4
	ACTN4
	ACVR1
adam22	ADAM22
adamtsl2	ADAMTSL2
LO018340.1	ADAMTSL4
add3b	ADD3
add3a	ADD3
	ADGRG1
adh8a	ADH5
adh8b	ADH5
zgc:63568	ADH5
zgc:77938	ADH5
si:ch1073-459j12.1	AEBP1
aebp1	AEBP1
aff3	AFF3
afg3l2	AFG3L2
agbl5	AGBL5
	AGK
agk	AGK
aglb	AGL
LO018627.1	AGL
agla	AGL
agrn	AGRN
ahsg1	AHSG
ahsg2	AHSG
aicda	AICDA
aimp1a	AIMP1
aimp1b	AIMP1
aimp2	AIMP2
aipl1	AIPL1
	AKAP9
zgc:56622	AKR1C2
zgc:110366	AKR1C2
akr1a1a	AKR1C2
zgc:101765	AKR1C2
zgc:110782	AKR1C2
akt2l	AKT2
akt2	AKT2
	ALDH18A1
aldh1a3	ALDH1A3
alg11	ALG11
alg14	ALG14
alg2	ALG2
alg3	ALG3
alg6	ALG6
alg9	ALG9
	ALMS1
alpl	ALPL
alx1	ALX1
	ALX3
alx4b	ALX4
alx4a	ALX4
BX324132.3	ALX4
	AMBN
amfra	AMFR
amfrb	AMFR
ampd2b	AMPD2
ampd2a	AMPD2
ank1a	ANK1
ank1b	ANK1
ank1a	ANK1
ank2a	ANK2
ankhb	ANKH
ankha	ANKH
anln	ANLN
ano5b	ANO5
ano5a	ANO5
antxr1b	ANTXR1
antxr1a	ANTXR1
antxr2b	ANTXR2
antxr2a	ANTXR2
anxa11a	ANXA11
anxa11b	ANXA11
AP3B2	AP3B2
ap4b1	AP4B1
ap4e1	AP4E1
ap4m1	AP4M1
ap4s1	AP4S1
ap5z1	AP5Z1
apc	APC
apc2	APC2
	APCDD1
	APOA5
apoc2	APOC2
	APOC3
appa	APP
appb	APP
aqp10b	AQP5
aqp10a	AQP5
aqp8b	AQP5
aqp8a.2	AQP5
arhgdia	ARHGDIA
arhgef1b	ARHGEF1
arhgef1a	ARHGEF2
arhgef2	ARHGEF2
arl2bp	ARL2BP
arl6ip1	ARL6IP1
armc2	ARMC2
arpc1b	ARPC1B
arv1	ARV1
asah1a	ASAH1
asah1b	ASAH1
	ASXL3
atad1b	ATAD1
atad1a	ATAD1
	ATAD3A
atf6	ATF6
atl1	ATL1
atl3	ATL3
atp11a	ATP11A
atp13a2	ATP13A2
atp1a1a.2	ATP1A1
atp1a1a.5	ATP1A1
atp1a1b	ATP1A1
atp1a1a.4	ATP1A1
atp1a1a.1	ATP1A1
atp1a1a.3	ATP1A1
atp1a2a	ATP1A2
	ATP1A3
atp2a2b	ATP2A2
atp2c1	ATP2C1
atp5f1d	ATP5F1D
atp5mc3a	ATP5MC3
atp5po	ATP5PO
